5,1,1,1
75,1,2,1
143,1,4,1
144,2,4,1
6,3,1,1
76,3,2,1
162,4,4,2
24,5,1,2
94,5,2,2
174,6,4,3
29,7,1,3
105,7,2,3
2,8,1,1
72,8,2,1
140,8,4,1
21,9,1,2
91,9,2,2
159,9,4,2
191,11,4,5
192,12,4,5
116,13,2,5
122,14,2,6
129,15,2,7
61,16,1,7
130,16,2,7
4,17,1,1
74,17,2,1
142,17,4,1
19,18,1,2
89,18,2,2
157,18,4,2
8,19,1,1
78,19,2,1
146,19,4,1
1,20,1,1
139,20,4,1
71,21,2,1
156,22,4,2
23,26,1,2
93,26,2,2
18,27,1,2
88,27,2,2
155,27,4,2
26,28,1,3
102,28,2,3
170,28,4,3
27,29,1,3
103,29,2,3
171,29,4,3
28,30,1,3
104,30,2,3
172,30,4,3
173,31,4,3
35,32,1,4
110,32,2,4
177,32,4,4
36,33,1,4
111,33,2,4
178,33,4,4
38,34,1,4
113,34,2,4
181,35,4,4
16,36,1,2
86,36,2,2
25,37,1,3
101,37,2,3
198,37,4,6
34,38,1,4
109,38,2,4
49,39,1,5
118,39,2,5
123,40,2,6
124,41,2,6
193,42,4,5
50,43,1,5
119,43,2,5
194,43,4,5
200,44,4,6
201,45,4,6
63,46,1,7
202,46,4,6
56,47,1,6
125,47,2,6
203,47,4,6
132,50,2,7
55,51,1,6
115,51,2,5
20,52,1,2
90,52,2,2
141,52,4,1
3,53,1,1
73,53,2,1
158,53,4,2
17,54,1,2
87,54,2,2
154,54,4,2
22,55,1,2
92,55,2,2
160,55,4,2
161,56,4,2
37,57,1,4
112,57,2,4
179,57,4,4
51,58,1,5
120,58,2,5
196,58,4,5
57,59,1,6
126,59,2,6
204,59,4,6
58,60,1,6
127,60,2,6
180,60,4,4
199,61,4,6
117,63,2,5
62,64,1,7
131,64,2,7
68,67,1,8
136,67,2,8
7,70,1,1
77,70,2,1
145,70,4,1
30,71,1,3
106,71,2,3
163,71,4,2
33,72,1,4
32,73,1,4
108,73,2,4
39,74,1,4
59,74,1,6
114,74,2,4
182,74,4,4
206,74,4,7
47,75,1,5
48,76,1,5
54,79,1,6
52,95,1,5
60,95,1,6
64,95,1,7
69,95,1,8
121,95,2,5
128,95,2,6
133,95,2,7
137,95,2,8
183,95,4,4
197,95,4,5
207,95,4,7
209,95,4,8
169,96,4,3
176,97,4,4
195,98,4,5
205,99,4,7
208,100,4,8
