1,1,15
2,55,15
3,56,15
4,2,13
5,2,1
6,3,13
7,3,1
8,4,13
9,4,1
10,5,13
11,5,1
12,6,13
13,6,1
14,7,13
15,7,1
16,34,13
17,34,1
18,35,13
19,35,1
20,19,14
21,19,9
22,13,1
23,13,2
24,14,1
25,14,2
26,15,2
27,15,3
28,16,1
29,16,2
30,36,1
31,36,2
32,37,1
33,37,2
34,38,1
35,38,2
36,39,1
37,39,2
38,40,1
39,40,2
40,41,1
41,41,2
42,63,2
43,63,3
44,64,1
45,64,2
46,67,1
47,67,2
48,11,9
49,11,11
50,12,10
51,12,12
52,29,9
53,29,11
54,30,10
55,30,12
56,31,9
57,31,10
58,32,9
59,32,11
60,33,10
61,33,12
62,43,11
63,43,9
64,44,11
65,44,12
66,45,11
67,45,9
68,46,12
69,46,10
70,47,12
71,47,11
72,96,9
73,96,10
74,98,9
75,98,11
76,27,9
77,27,10
78,28,9
79,28,11
80,42,10
81,42,12
82,54,9
83,54,10
84,61,10
85,61,12
86,97,9
87,97,11
88,99,9
89,99,11
90,100,11
91,100,12
92,48,12
93,48,3
94,49,12
95,49,3
96,50,12
97,50,3
98,51,3
99,51,1
100,72,3
101,72,1
102,75,3
103,75,1
104,76,3
105,76,1
106,79,3
107,79,1
108,17,9
109,17,10
110,18,9
111,18,10
112,20,9
113,20,10
114,21,9
115,21,10
116,22,9
117,22,11
118,23,9
119,23,11
120,24,9
121,24,11
122,25,9
123,25,11
124,26,9
125,26,11
126,8,15
127,9,15
128,10,15
129,57,15
130,58,15
131,59,15
132,60,15
133,70,15
134,71,15
135,74,15
136,95,15
137,73,1
