1,1,1,1
54,1,2,1
2,3,1,1
55,3,2,1
9,5,1,2
62,5,2,2
19,7,1,3
72,7,2,3
3,8,1,1
56,8,2,1
10,9,1,2
63,9,2,2
87,13,2,5
94,14,2,6
102,15,2,7
49,16,1,7
103,16,2,7
5,17,1,1
58,17,2,1
11,18,1,2
64,18,2,2
4,19,1,1
57,19,2,1
6,20,1,1
59,21,2,1
12,26,1,2
65,26,2,2
14,27,1,2
67,27,2,2
21,28,1,3
74,28,2,3
22,29,1,3
75,29,2,3
23,30,1,3
76,30,2,3
29,32,1,4
81,32,2,4
30,33,1,4
82,33,2,4
26,34,1,4
79,34,2,4
13,36,1,2
66,36,2,2
20,37,1,3
73,37,2,3
27,38,1,4
80,38,2,4
37,39,1,5
88,39,2,5
95,40,2,6
96,41,2,6
38,43,1,5
90,43,2,5
50,46,1,7
44,47,1,6
97,47,2,6
104,50,2,7
43,51,1,6
89,51,2,5
17,52,1,2
70,52,2,2
7,53,1,1
60,53,2,1
18,54,1,2
71,54,2,2
15,55,1,2
68,55,2,2
16,56,1,2
69,56,2,2
31,57,1,4
83,57,2,4
39,58,1,5
92,58,2,5
46,59,1,6
99,59,2,6
45,60,1,6
98,60,2,6
91,63,2,5
105,64,2,7
108,67,2,8
8,70,1,1
61,70,2,1
24,71,1,3
77,71,2,3
28,72,1,4
32,73,1,4
25,74,1,4
78,74,2,4
35,75,1,5
36,76,1,5
33,77,1,5
34,78,1,5
42,79,1,6
40,80,1,6
41,81,1,6
51,82,1,7
47,83,1,7
48,84,1,7
53,85,1,8
52,86,1,8
84,87,2,4
85,88,2,5
86,89,2,5
93,90,2,6
100,91,2,7
101,92,2,7
106,93,2,8
107,94,2,8
